image_id,file_name,distortion,severity,snr_db,var,amount,ksize,angle
148739,000000148739.jpg,gauss_noise,low,24.9279,124.89,,,
148957,000000148957.jpg,gauss_noise,low,19.1171,201.25,,,
148999,000000148999.jpg,gauss_noise,low,21.5248,246.76,,,
149222,000000149222.jpg,gauss_noise,low,19.215,224.85,,,
149568,000000149568.jpg,gauss_noise,low,18.6532,287.02,,,
149622,000000149622.jpg,gauss_noise,low,22.4271,110.92,,,
149770,000000149770.jpg,gauss_noise,low,22.044,250.26,,,
150649,000000150649.jpg,gauss_noise,low,21.1073,129.53,,,
151000,000000151000.jpg,gauss_noise,low,18.8145,296.19,,,
151480,000000151480.jpg,gauss_noise,low,18.2633,209.98,,,
151516,000000151516.jpg,gauss_noise,low,15.9862,265.52,,,
151662,000000151662.jpg,gauss_noise,low,19.9611,247.92,,,
151820,000000151820.jpg,gauss_noise,low,21.3868,144.79,,,
151938,000000151938.jpg,gauss_noise,low,19.2677,133.98,,,
151962,000000151962.jpg,gauss_noise,low,18.3125,277.2,,,
152870,000000152870.jpg,gauss_noise,low,18.7275,263.79,,,
153011,000000153011.jpg,gauss_noise,low,18.3699,279.54,,,
153529,000000153529.jpg,gauss_noise,low,21.0859,164.95,,,
153669,000000153669.jpg,gauss_noise,low,15.7589,260.07,,,
154000,000000154000.jpg,gauss_noise,low,21.4585,220.62,,,
154087,000000154087.jpg,gauss_noise,low,21.1214,275.81,,,
154213,000000154213.jpg,gauss_noise,low,23.6338,150.56,,,
155051,000000155051.jpg,gauss_noise,low,10.9103,101.07,,,
155145,000000155145.jpg,gauss_noise,low,19.0806,159.18,,,
155154,000000155154.jpg,gauss_noise,low,21.7163,140.31,,,
155443,000000155443.jpg,gauss_noise,low,18.7862,165.2,,,
155571,000000155571.jpg,gauss_noise,low,19.1739,217.81,,,
156076,000000156076.jpg,gauss_noise,low,19.8114,166.97,,,
156278,000000156278.jpg,gauss_noise,low,19.9674,186.45,,,
156643,000000156643.jpg,gauss_noise,low,17.7942,210.96,,,
